STAR version=2.7.9a
STAR compilation time,server,dir=2022-03-02T16:06:11+01:00 sb03-01:/tmp/eb-build/STAR/2.7.9a/GCC-11.2.0/STAR-2.7.9a/source
##### Command Line:
STAR --runThreadN 1 --runMode genomeGenerate --genomeDir SDR001_REF_index --genomeFastaFiles /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa --sjdbGTFfile /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf --sjdbOverhang 99 --genomeSAindexNbases 4
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    1     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     SDR001_REF_index     ~RE-DEFINED
genomeFastaFiles              /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa        ~RE-DEFINED
sjdbGTFfile                   /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf     ~RE-DEFINED
sjdbOverhang                  99     ~RE-DEFINED
genomeSAindexNbases           4     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        1
genomeDir                         SDR001_REF_index
genomeFastaFiles                  /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa   
genomeSAindexNbases               4
sjdbGTFfile                       /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf
sjdbOverhang                      99

-------------------------------
##### Final effective command line:
STAR   --runMode genomeGenerate      --runThreadN 1   --genomeDir SDR001_REF_index   --genomeFastaFiles /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa      --genomeSAindexNbases 4   --sjdbGTFfile /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf   --sjdbOverhang 99
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory created: SDR001_REF_index/
Feb 02 17:53:32 ... starting to generate Genome files
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 0  "cDNA_ROR1_chrom" chrStart: 0
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 1  "cDNA_TSTD1_chrom" chrStart: 262144
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 2  "cDNA_NME7_chrom" chrStart: 524288
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 3  "cDNA_ATP1B1_chrom" chrStart: 786432
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 4  "cDNA_PDLIM1_chrom" chrStart: 1048576
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 5  "cDNA_NANOG_chrom" chrStart: 1310720
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 6  "cDNA_LTA4H_chrom" chrStart: 1572864
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 7  "cDNA_KLF5_chrom" chrStart: 1835008
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 8  "cDNA_PSME1_chrom" chrStart: 2097152
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 9  "cDNA_EMC9_chrom" chrStart: 2359296
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 10  "cDNA_PSME2_chrom" chrStart: 2621440
